5.5*keV 5.26218563558729E-308
6.5*keV 4.03052557128972E-193
7.5*keV 2.24434243031342E-128
8.5*keV 4.02880024255151E-89
9.5*keV 3.54301693334668E-64
10.5*keV 1.59619538532336E-47
11.5*keV 6.64725396272264E-36
12.5*keV 1.25510756633656E-27
13.5*keV 1.67038331203028E-21
14.5*keV 7.25559786925114E-17
15.5*keV 2.54182736212709E-13
16.5*keV 1.51830833860578E-10
17.5*keV 2.21711924351254E-08
18.5*keV 1.29207733154164E-06
19.5*keV 3.10192318112068E-05
20.5*keV 0.0004450208
21.5*keV 0.0039429166
22.5*keV 0.0242678475
23.5*keV 1.23871623278992E-15
24.5*keV 1.06323740713789E-13
25.5*keV 4.86944998915416E-12
26.5*keV 1.36243960206372E-10
27.5*keV 2.43086462724344E-09
28.5*keV 3.22232420336855E-08
29.5*keV 3.05673175614236E-07
30.5*keV 2.25228423964291E-06
31.5*keV 1.28614271206333E-05
32.5*keV 6.26313568684556E-05
33.5*keV 0.0002441682
34.5*keV 0.0008369265
35.5*keV 0.002450979
36.5*keV 0.0064972973
37.5*keV 0.0154257612
38.5*keV 0.0308236446
39.5*keV 0.0614361182
40.5*keV 0.1024892362
41.5*keV 0.1497368062
42.5*keV 0.205247881
43.5*keV 0.2327636094
44.5*keV 0.1632813697
